"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"14919",-8.65419478,52.68051407,"4c07d11e-2e96-851d-e053-ca3ca8c0ca7f",46863.2583858967,"Limerick City and County","127105027","Limerick North Rural"
"14920",-8.65657191,52.67903779,"4c07d11e-2e97-851d-e053-ca3ca8c0ca7f",16404.1852358691,"Limerick City and County","127105023","Limerick North Rural"
"14921",-8.64678488,52.6790508,"4c07d11e-2e98-851d-e053-ca3ca8c0ca7f",22954.4912477136,"Limerick City and County","128007013","Ballynanty"
"14922",-8.63807892,52.67451131,"4c07d11e-2ea9-851d-e053-ca3ca8c0ca7f",26835.2742026448,"Limerick City and County","128027005","Killeely A"
"14923",-8.64426014,52.67965633,"4c07d11e-2eaa-851d-e053-ca3ca8c0ca7f",34519.0751640201,"Limerick City and County","128007012","Ballynanty"
"14924",-8.60463785,52.66066956,"4c07d11e-2f3b-851d-e053-ca3ca8c0ca7f",61040.7623909749,"Limerick City and County","128035001","Singland A"
"14925",-8.65245378,52.68599459,"4c07d11e-2eb8-851d-e053-ca3ca8c0ca7f",867565.526079491,"Limerick City and County","127105028/127105031","Limerick North Rural"
"14926",-8.63012624,52.67309003,"4c07d11e-2eb9-851d-e053-ca3ca8c0ca7f",49416.0681724548,"Limerick City and County","128028004","Killeely B"
"14927",-9.09171695,53.25846224,"4c07d11e-2f50-851d-e053-ca3ca8c0ca7f",36402.0628250241,"Galway City","068008003","An Cnocán Carrach"
"14928",-6.36463465,53.97153522,"4c07d11e-29ec-851d-e053-ca3ca8c0ca7f",135366.574768618,"Louth","147025018","Haggardstown"
"14929",-8.60836543,52.67070233,"4c07d11e-2e89-851d-e053-ca3ca8c0ca7f",54877.6428754926,"Limerick City and County","128001009","Abbey A"
"14930",-8.65945556,52.67920194,"4c07d11e-2e8a-851d-e053-ca3ca8c0ca7f",34957.4911877215,"Limerick City and County","127105026","Limerick North Rural"
"14931",-8.63622701,52.67277078,"4c07d11e-2e99-851d-e053-ca3ca8c0ca7f",28366.8951190785,"Limerick City and County","128027004","Killeely A"
"14932",-8.6102902,52.66202648,"4c07d11e-2f2b-851d-e053-ca3ca8c0ca7f",51900.2528706491,"Limerick City and County","128004004","Abbey D"
"14933",-8.61134108,52.66316642,"4c07d11e-2f2c-851d-e053-ca3ca8c0ca7f",19823.3177620769,"Limerick City and County","128004001","Abbey D"
"14934",-8.62876821,52.66442808,"4c07d11e-2f3c-851d-e053-ca3ca8c0ca7f",44808.9739035368,"Limerick City and County","128033003/03","Shannon A"
"14935",-8.63114169,52.6668861,"4c07d11e-2f3d-851d-e053-ca3ca8c0ca7f",23409.0932366401,"Limerick City and County","128009003","Castle B"
"14936",-8.62255802,52.66395054,"4c07d11e-2f3e-851d-e053-ca3ca8c0ca7f",32969.1238357723,"Limerick City and County","128013003/02","Custom House"
"14937",-8.50337486,51.90615255,"4c07d11e-2534-851d-e053-ca3ca8c0ca7f",20430.4136727899,"Cork City","048039009","Knocknaheeny"
"14938",-8.50461663,51.90826326,"4c07d11e-2535-851d-e053-ca3ca8c0ca7f",80917.2568811178,"Cork City","048039011","Knocknaheeny"
"14939",-8.61792962,52.6655341,"4c07d11e-2f4d-851d-e053-ca3ca8c0ca7f",47444.7624162436,"Limerick City and County","128003003","Abbey C"
"14940",-8.61793411,52.66435701,"4c07d11e-2f4e-851d-e053-ca3ca8c0ca7f",16758.4766837656,"Limerick City and County","128003002","Abbey C"
"14941",-8.62194148,52.66773201,"4c07d11e-2f4f-851d-e053-ca3ca8c0ca7f",17451.3587489128,"Limerick City and County","128026002","John's C"
"14942",-8.57453959,52.66257207,"4c07d11e-2ef1-851d-e053-ca3ca8c0ca7f",20692.1299750209,"Limerick City and County","127026023","Ballysimon"
"14943",-8.57710609,52.66265088,"4c07d11e-2ef2-851d-e053-ca3ca8c0ca7f",24823.001745224,"Limerick City and County","127026004","Ballysimon"
"14944",-8.61342041,52.6617722,"4c07d11e-2f1e-851d-e053-ca3ca8c0ca7f",36888.6811432838,"Limerick City and County","128004005","Abbey D"
"14945",-8.62738835,52.67586536,"4c07d11e-2ec5-851d-e053-ca3ca8c0ca7f",17654.1316512972,"Limerick City and County","128024001","John's A"
"14946",-8.60839449,52.66063268,"4c07d11e-2f2d-851d-e053-ca3ca8c0ca7f",28173.8081455231,"Limerick City and County","128035002","Singland A"
"14947",-8.48406045,51.89345647,"4c07d11e-24f3-851d-e053-ca3ca8c0ca7f",19769.5571945161,"Cork City","048028008","Gillabbey A"
"14948",-8.47948814,51.89233435,"4c07d11e-24f4-851d-e053-ca3ca8c0ca7f",31385.8362438977,"Cork City","048034001","Greenmount"
"14949",-8.48045486,51.89346737,"4c07d11e-24f5-851d-e053-ca3ca8c0ca7f",22395.3102271855,"Cork City","048028002","Gillabbey A"
"14950",-8.49698313,51.90926237,"4c07d11e-2536-851d-e053-ca3ca8c0ca7f",14813.5716804862,"Cork City","048039013","Knocknaheeny"
"14951",-8.49949433,51.90742206,"4c07d11e-2537-851d-e053-ca3ca8c0ca7f",28092.5257951021,"Cork City","048039010","Knocknaheeny"
"14952",-8.4883136,51.90147345,"4c07d11e-2538-851d-e053-ca3ca8c0ca7f",14434.5233640196,"Cork City","048036001","Gurranebraher B"
"14953",-8.64601714,52.63681094,"4c07d11e-2e93-851d-e053-ca3ca8c0ca7f",24208.3252248848,"Limerick City and County","127018009","Ballycummin"
"14954",-8.64887585,52.63612199,"4c07d11e-2e9f-851d-e053-ca3ca8c0ca7f",15018.5215694308,"Limerick City and County","127018007","Ballycummin"
"14955",-8.48868134,51.90524606,"4c07d11e-2574-851d-e053-ca3ca8c0ca7f",33707.9647506066,"Cork City","048038002","Gurranebraher E"
